no,short_desc,unit,qty,unit_price,total,vendor_quote,note,full_desc
參.三.3,接線裝置，電視插座及網路插座(含出線口,組,13.0,,,,,接線裝置，電視插座及網路插座(含出線口 )
參.三.4,接線裝置，PACS影像儲存系統資訊插座(含,只,1.0,,,,,接線裝置，PACS影像儲存系統資訊插座(含 出線口)
參.三.5,接線裝置，雙孔網路插座(含出線口),只,42.0,,,,,接線裝置，雙孔網路插座(含出線口)
參.三.6,接線裝置，無線網路出口(含出線口),只,7.0,,,,,接線裝置，無線網路出口(含出線口)
參.三.7,建築物電信電纜，Cat.6 UTP 網路線(須符,M,3995.0,,,,,建築物電信電纜，Cat.6 UTP 網路線(須符 合醫院規範)
參.三.8,建築物電信電纜，5C-2V 電視線(須符合醫,M,369.0,,,,,建築物電信電纜，5C-2V 電視線(須符合醫 院規範)
參.三.9,建築物電信電纜，0.5-4P-PE-PVC電話線(,M,1152.0,,,,,建築物電信電纜，0.5-4P-PE-PVC電話線( 須符合醫院規範)
參.三.10,建築物電信電纜，0.5-100P-PE-PVC電話線,M,100.0,,,,,建築物電信電纜，0.5-100P-PE-PVC電話線 (須符合醫院規範)
參.三.11,Cat.6 A 24 Port Patch Panel,只,6.0,,,,,Cat.6 A 24 Port Patch Panel
參.三.12,跳線面板（Patch Panel）,套,6.0,,,,,跳線面板（Patch Panel）
參.三.13,建築物電信光纜，光纖 12芯 (速率須支援,M,100.0,,,,,建築物電信光纜，光纖 12芯 (速率須支援 10Gbps )須符合院內設備介面銜接
參.三.14,光纖跳接面板,只,6.0,,,,,光纖跳接面板
參.三.15,資訊配線每3公尺需標籤(含配線架內資訊,式,1.0,,,,,資訊配線每3公尺需標籤(含配線架內資訊 線)
參.三.16,光纖建置所有零料及配件,式,1.0,,,,,光纖建置所有零料及配件
參.三.17,弱電拉線箱,式,1.0,,,,,弱電拉線箱
參.三.18,管路吊掛及固定,式,1.0,,,,,管路吊掛及固定
參.三.19,"接至既有電話,網路及電視電設備,功能測",式,1.0,,,,,"接至既有電話,網路及電視電設備,功能測 試(配合現場採責任施工)"
參.三.20.1,導線管，電線用鋼管，無螺紋，稱呼E25,M,895.0,,,,,導線管，電線用鋼管，無螺紋，稱呼E25 醫療用接地設備
參.三.20.2,醫療用接地端子,組,123.0,,,,,醫療用接地端子
參.三.20.3,導線管，硬質聚氯乙烯塑膠管，E管，標稱,M,239.0,,,,,導線管，硬質聚氯乙烯塑膠管，E管，標稱 28mm，厚2.7mm
參.三.20.4,PVC 配管另料,式,1.0,,,,,PVC 配管另料
參.三.20.5,電線及電纜，600V聚氯乙烯絕緣電線，絞,M,368.0,,,,,電線及電纜，600V聚氯乙烯絕緣電線，絞 線，14mm2
參.三.20.6,配線另料,式,1.0,,,,,配線另料
參.三.21.1,直式線槽本體 (300x100mm 3M一支),M,220.0,,,,,直式線槽本體 (300x100mm 3M一支)
參.三.21.2,直式線槽上蓋  (300x100mm 3M一支),M,220.0,,,,,直式線槽上蓋  (300x100mm 3M一支)
參.三.21.3,水平90度彎頭(300x100mm),只,3.0,,,,,水平90度彎頭(300x100mm)
參.三.21.4,水平T型彎頭(300x100mm),只,17.0,,,,,水平T型彎頭(300x100mm)
參.三.21.5,終端封板(300x100mm),只,21.0,,,,,終端封板(300x100mm)
參.三.21.6,"其他另料(含,SUS外側固定片,SUS馬車螺絲",式,1.0,,,,,"其他另料(含,SUS外側固定片,SUS馬車螺絲 ,終端封板)"
參.三.22,吊管架固定另料(戶外採不銹鋼材質),式,1.0,,,,,吊管架固定另料(戶外採不銹鋼材質)
參.三.23,配管線另件(配管線另件),式,1.0,,,,,配管線另件(配管線另件)
參.三.24,牆壁打鑿及修復,式,1.0,,,,,牆壁打鑿及修復
參.三.25,雜項另料,式,1.0,,,,,雜項另料
參.三.26,運雜費,式,1.0,,,,,運雜費
參.三.27,按裝工資,式,1.0,,,,,按裝工資 小計
參.四,衛生設備工程,式,,,,,,衛生設備工程
參.四.1,廁所附屬設備，單體馬桶,組,23.0,,,,,廁所附屬設備，單體馬桶
參.四.2,廁所附屬設備，折疊式安全扶手,組,18.0,,,,,廁所附屬設備，折疊式安全扶手
參.四.3,廁所附屬設備，L式安全扶手,組,18.0,,,,,廁所附屬設備，L式安全扶手
參.四.4,廁所附屬設備，掛牆式小便斗(附感應式沖,組,1.0,,,,,廁所附屬設備，掛牆式小便斗(附感應式沖 水)
參.四.5,廁所附屬設備，一字型 安全扶手,組,18.0,,,,,廁所附屬設備，一字型 安全扶手
參.四.6,廁所附屬設備，洗臉盆(含面盆附感應式冷,組,25.0,,,,,"廁所附屬設備，洗臉盆(含面盆附感應式冷 熱水龍頭)
(浴廁及污物室)"
參.四.7,廁所附屬設備，臉盆式安全扶手(配合臉盆,組,18.0,,,,,廁所附屬設備，臉盆式安全扶手(配合臉盆 按裝)
參.四.8,廁所附屬設備，不鏽鋼衛生沖水器(配合馬,組,23.0,,,,,廁所附屬設備，不鏽鋼衛生沖水器(配合馬 桶按裝)
參.四.9,廁所附屬設備，感應式可調溫冷熱水混合,組,5.0,,,,,廁所附屬設備，感應式可調溫冷熱水混合 龍頭一應配件全、 配合現場檯面按裝(不 含水槽)(治療室、準備室、護理站、茶水 間)
參.四.10,廁所附屬設備，無鉛廚房龍頭(單把手檯式,組,1.0,,,,,廁所附屬設備，無鉛廚房龍頭(單把手檯式 冷熱水混合龍頭)-休息室
參.四.11,廁所附屬設備，沐浴龍頭,組,22.0,,,,,廁所附屬設備，沐浴龍頭
參.四.12,廁所附屬設備，雙層毛巾架(符合院區既有,組,22.0,,,,,廁所附屬設備，雙層毛巾架(符合院區既有 型式)
參.四.13,廁所附屬設備，衛生紙架(符合院區既有型,組,23.0,,,,,廁所附屬設備，衛生紙架(符合院區既有型 式)
參.四.14,廁所附屬設備，拖布盆(含單栓龍頭),組,2.0,,,,,廁所附屬設備，拖布盆(含單栓龍頭)
參.四.15,廁所附屬設備，污物盆(含沖水閥及單栓龍,組,2.0,,,,,廁所附屬設備，污物盆(含沖水閥及單栓龍 頭)
參.四.16,衛浴設備器具固定架、排放管、機械鑿孔,式,1.0,,,,,衛浴設備器具固定架、排放管、機械鑿孔 及防水處理費
參.四.17,雜項另料(含運雜費),式,1.0,,,,,雜項另料(含運雜費)
參.四.18,設備按裝工資,式,1.0,,,,,設備按裝工資 小計
參.五,給水配管工程,式,,,,,,給水配管工程
參.五.1.1,不銹鋼管及管件，∮13不銹鋼管(0.8mm-t),M,823.0,,,,,不銹鋼管及管件，∮13不銹鋼管(0.8mm-t)
參.五.1.2,不銹鋼管及管件，∮20不銹鋼管(1.0mm-t),M,196.0,,,,,不銹鋼管及管件，∮20不銹鋼管(1.0mm-t)
參.五.1.3,不銹鋼管及管件，∮25不銹鋼管(1.0mm-t),M,69.0,,,,,不銹鋼管及管件，∮25不銹鋼管(1.0mm-t)
參.五.1.4,不銹鋼管及管件，∮30不銹鋼管(1.0mm-t),M,62.0,,,,,不銹鋼管及管件，∮30不銹鋼管(1.0mm-t)
參.五.1.5,不銹鋼管及管件，∮40不銹鋼管(1.2mm-t),M,53.0,,,,,不銹鋼管及管件，∮40不銹鋼管(1.2mm-t)
參.五.1.6,不銹鋼管及管件，∮50不銹鋼管(1.2mm-t),M,55.0,,,,,不銹鋼管及管件，∮50不銹鋼管(1.2mm-t)
參.五.1.7,不銹鋼管及管件，∮65不銹鋼管(2.0mm-t),M,28.0,,,,,不銹鋼管及管件，∮65不銹鋼管(2.0mm-t)
參.五.1.8,不銹鋼管及管件，∮(80)75不銹鋼管(,M,13.0,,,,,不銹鋼管及管件，∮(80)75不銹鋼管( 2.0mm-t)
參.五.1.9,不銹鋼壓接另件(符合CNS 14645認證),式,1.0,,,,,不銹鋼壓接另件(符合CNS 14645認證)
參.五.1.10,預留套管及吊管架固定另料（戶外採不銹,式,1.0,,,,,預留套管及吊管架固定另料（戶外採不銹 鋼材質）
參.五.2.1,不銹鋼管及管件，∮13不銹鋼管(0.8mm-t),M,198.0,,,,,不銹鋼管及管件，∮13不銹鋼管(0.8mm-t) (被覆4.0mm-t)
參.五.2.2,不銹鋼壓接另件,式,1.0,,,,,不銹鋼壓接另件 SUS#304-PE   發泡耐燃保溫不鏽鋼壓接明 管 (HW   HWR)
參.五.2.3,不銹鋼管及管件，∮13不銹鋼管(0.8mm-t),M,195.0,,,,,不銹鋼管及管件，∮13不銹鋼管(0.8mm-t) (發泡耐燃保溫6.0t)
參.五.2.4,不銹鋼管及管件，∮20不銹鋼管(1.0mm-t),M,167.0,,,,,不銹鋼管及管件，∮20不銹鋼管(1.0mm-t) (發泡耐燃保溫6.0t)
參.五.2.5,不銹鋼管及管件，∮25不銹鋼管(1.0mm-t),M,53.0,,,,,不銹鋼管及管件，∮25不銹鋼管(1.0mm-t) ( 發泡耐燃保溫6.0t)
參.五.2.6,不銹鋼管及管件，∮30不銹鋼管(1.0mm-t),M,63.0,,,,,不銹鋼管及管件，∮30不銹鋼管(1.0mm-t) (發泡耐燃保溫7.0t)
參.五.2.7,不銹鋼管及管件，∮40不銹鋼管(1.0mm-t),M,53.0,,,,,不銹鋼管及管件，∮40不銹鋼管(1.0mm-t) (發泡耐燃保溫8.0t)
參.五.2.8,不銹鋼管及管件，∮50不銹鋼管(1.2mm-t),M,38.0,,,,,不銹鋼管及管件，∮50不銹鋼管(1.2mm-t) (發泡耐燃保溫9.0t)
參.五.2.9,不銹鋼壓接另件(符合CNS 14645認證),式,1.0,,,,,不銹鋼壓接另件(符合CNS 14645認證)
參.五.2.10,預留套管及吊管架固定另料,式,1.0,,,,,預留套管及吊管架固定另料
參.五.2.11,預留套管及吊管架固定另料（戶外採不銹,式,1.0,,,,,預留套管及吊管架固定另料（戶外採不銹 鋼材質）
參.五.3.1,不銹鋼製球塞閥，∮13 (牙口),只,41.0,,,,,不銹鋼製球塞閥，∮13 (牙口)
參.五.3.2,不銹鋼製球塞閥，∮20 (牙口),只,23.0,,,,,不銹鋼製球塞閥，∮20 (牙口)
參.五.3.3,不銹鋼製球塞閥，∮25 (牙口),只,2.0,,,,,不銹鋼製球塞閥，∮25 (牙口)
參.五.4.1,閘閥∮20 (牙口),只,3.0,,,,,閘閥∮20 (牙口)
參.五.4.2,閘閥∮50  (法蘭口),只,3.0,,,,,閘閥∮50  (法蘭口)
參.五.4.3,閘閥∮65 (法蘭口),只,2.0,,,,,閘閥∮65 (法蘭口)
參.五.4.4,閘閥∮75 (法蘭口),只,1.0,,,,,閘閥∮75 (法蘭口)
參.五.5.1,不銹鋼製球塞閥，∮20 (牙口),只,1.0,,,,,不銹鋼製球塞閥，∮20 (牙口)
參.五.6,試水試壓,式,1.0,,,,,試水試壓
參.五.7,管路油漆及標示,式,1.0,,,,,管路油漆及標示
參.五.8,管路貫穿樓板、隔牆開孔、牆壁打鑿、復,式,1.0,,,,,管路貫穿樓板、隔牆開孔、牆壁打鑿、復 原及防水處理
參.五.9,雜項另料(含運雜費),式,1.0,,,,,雜項另料(含運雜費)
參.五.10,配管按裝工資,式,1.0,,,,,配管按裝工資 小計
參.六.1.1,"清潔口，暗式清潔口  2""(∮50)",只,2.0,,,,,"清潔口，暗式清潔口  2""(∮50)"
參.六.1.2,"清潔口，暗式清潔口  3""(∮75)",只,18.0,,,,,"清潔口，暗式清潔口  3""(∮75)"
參.六.1.3,"清潔口，暗式清潔口  4""(∮100)",只,20.0,,,,,"清潔口，暗式清潔口  4""(∮100)"
參.六.2.1,落水頭，方型地板落水頭  ∮50,只,25.0,,,,,落水頭，方型地板落水頭  ∮50
參.六.3.1,落水頭，排水口落水頭  ∮50,只,28.0,,,,,落水頭，排水口落水頭  ∮50
參.六.4.1,飲水機用排水口  ∮50,只,2.0,,,,,飲水機用排水口  ∮50
參.六.5.1,聚氯乙烯塑膠管及配件，PVC-DWV管 (橘色,M,235.0,,,,,"聚氯乙烯塑膠管及配件，PVC-DWV管 (橘色 ) (SP、WP)  2"" ∮50 (4.1mm-t)"
參.六.5.2,聚氯乙烯塑膠管及配件，PVC-DWV管 (橘色,M,229.0,,,,,"聚氯乙烯塑膠管及配件，PVC-DWV管 (橘色 ) (SP、WP)  3""∮75(80)  (5.5mm-t)"
參.六.5.3,聚氯乙烯塑膠管及配件，PVC-DWV管 (橘色,M,216.0,,,,,"聚氯乙烯塑膠管及配件，PVC-DWV管 (橘色 ) (SP、WP)  4"" ∮100 (6.6mm-t)"
參.六.5.4,配管另料,式,1.0,,,,,配管另料
參.六.5.5,吊管架固定另料(戶外採不銹鋼材質),式,1.0,,,,,吊管架固定另料(戶外採不銹鋼材質)
參.六.6.1,聚氯乙烯塑膠管及配件，PVC-B級管  (VP),M,186.0,,,,,聚氯乙烯塑膠管及配件，PVC-B級管  (VP) ∮40 (1.8mm-t)
參.六.6.2,聚氯乙烯塑膠管及配件，PVC-B級管  (VP),M,96.0,,,,,聚氯乙烯塑膠管及配件，PVC-B級管  (VP) ∮50 (1.8mm-t)
參.六.6.3,配管另料,式,1.0,,,,,配管另料
參.六.6.4,吊管架固定另料(戶外採不銹鋼材質),式,1.0,,,,,吊管架固定另料(戶外採不銹鋼材質)
參.六.7,排水設備及新舊管線接合另料(含舊管滲漏,式,1.0,,,,,排水設備及新舊管線接合另料(含舊管滲漏 修補)
參.六.8,打鑿修補含防裂網,式,1.0,,,,,打鑿修補含防裂網
參.六.9,穿牆止水板及防水工程,式,1.0,,,,,穿牆止水板及防水工程
參.六.10,零星材料及工具損耗,式,1.0,,,,,零星材料及工具損耗
參.六.11,試水試壓,式,1.0,,,,,試水試壓
參.六.12,管路貫穿樓板水泥砂漿填補，隔間牆防水,式,1.0,,,,,管路貫穿樓板水泥砂漿填補，隔間牆防水
參.六.13,管路標示,式,1.0,,,,,管路標示
參.六.14,雜項另料(含運雜費),式,1.0,,,,,雜項另料(含運雜費)
參.六.15,配管按裝工資,式,1.0,,,,,配管按裝工資 小計
參.七,消防設備工程,式,,,,,,消防設備工程
參.七.1,ABC乾粉手提式滅火器10型,具,17.0,,,,,ABC乾粉手提式滅火器10型
參.七.2,滅火器埋入式放置箱*2支,組,7.0,,,,,滅火器埋入式放置箱*2支
參.七.3,綜合消防栓箱整修 (含配件更新),套,5.0,,,,,綜合消防栓箱整修 (含配件更新)
參.七.4,"既設火警總機回路程式修改
(含圖控.空調",式,1.0,,,,,"既設火警總機回路程式修改
(含圖控.空調 及信號裝置)"
參.七.5,火警警報設備，定址偵煙式感應器  局限,只,51.0,,,,,火警警報設備，定址偵煙式感應器  局限 型二種
參.七.6,火警警報設備，定址定溫式感應器  局限,只,1.0,,,,,火警警報設備，定址定溫式感應器  局限 型一種
參.七.7,火警警報設備，偵煙式感應器  局限型二,只,5.0,,,,,火警警報設備，偵煙式感應器  局限型二 種
參.七.8,信號裝置 5L,台,1.0,,,,,信號裝置 5L
參.七.9,定址式監控模組,只,21.0,,,,,定址式監控模組
參.七.10,緊急廣播設備，緊急廣播喇叭 崁頂式3W,只,47.0,,,,,緊急廣播設備，緊急廣播喇叭 崁頂式3W
參.七.11,緊急廣播設備，緊急廣播喇叭 壁掛式3W,只,2.0,,,,,緊急廣播設備，緊急廣播喇叭 壁掛式3W
參.七.12,崁頂式緊急照明燈  LED36燈,具,56.0,,,,,崁頂式緊急照明燈  LED36燈
參.七.13,閃滅音響出口標示燈,具,6.0,,,,,閃滅音響出口標示燈
參.七.14,出口標示燈 LED燈B級,具,4.0,,,,,出口標示燈 LED燈B級
參.七.15,避難方向指示燈  LED燈單向單面B級,具,5.0,,,,,避難方向指示燈  LED燈單向單面B級
參.七.16,"流水檢知裝置 4"" (附制水閥及銜接模組及",組,1.0,,,,,"流水檢知裝置 4"" (附制水閥及銜接模組及 排水管)"
參.七.17,水流警報器 (含管線及模組銜接),具,3.0,,,,,水流警報器 (含管線及模組銜接)
參.七.18,末端查驗裝置,組,1.0,,,,,末端查驗裝置
參.七.19,自動撒水頭 2.3m 優美型,只,205.0,,,,,自動撒水頭 2.3m 優美型
參.七.20,導線管，EMT管 E19,M,2122.0,,,,,導線管，EMT管 E19
參.七.21,電線及電纜，HIV 對絞隔離線1.25mm,M,1612.0,,,,,電線及電纜，HIV 對絞隔離線1.25mm
參.七.22,電線及電纜，HIV 耐熱電線1.6mm,M,1744.0,,,,,電線及電纜，HIV 耐熱電線1.6mm
參.七.23,電線及電纜，HIV 耐熱電線1.2mm,M,544.0,,,,,電線及電纜，HIV 耐熱電線1.2mm
參.七.24.1,壓力配管用碳鋼鋼管(STPG)，標稱管徑,M,94.0,,,,,壓力配管用碳鋼鋼管(STPG)，標稱管徑 100mm (外粉體內鍍鋅)
參.七.24.2,壓力配管用碳鋼鋼管(STPG)，標稱管徑,M,52.0,,,,,壓力配管用碳鋼鋼管(STPG)，標稱管徑 80mm (外粉體內鍍鋅)
參.七.24.3,壓力配管用碳鋼鋼管(STPG)，標稱管徑,M,98.0,,,,,壓力配管用碳鋼鋼管(STPG)，標稱管徑 65mm (外粉體內鍍鋅)
參.七.24.4,壓力配管用碳鋼鋼管(STPG)，標稱管徑,M,162.0,,,,,壓力配管用碳鋼鋼管(STPG)，標稱管徑 50mm (外粉體內鍍鋅)
參.七.24.5,壓力配管用碳鋼鋼管(STPG)，標稱管徑,M,168.0,,,,,壓力配管用碳鋼鋼管(STPG)，標稱管徑 40mm (外粉體內鍍鋅)
參.七.24.6,壓力配管用碳鋼鋼管(STPG)，標稱管徑,M,68.0,,,,,壓力配管用碳鋼鋼管(STPG)，標稱管徑 32mm (外粉體內鍍鋅)
參.七.24.7,壓力配管用碳鋼鋼管(STPG)，標稱管徑,M,984.0,,,,,壓力配管用碳鋼鋼管(STPG)，標稱管徑 25mm (外粉體內鍍鋅)
參.七.25,配管另料,式,1.0,,,,,配管另料
參.七.26,運雜費,式,1.0,,,,,運雜費
參.七.27,打鑿及修補,式,1.0,,,,,打鑿及修補
參.七.28,功能測試,式,1.0,,,,,功能測試
參.七.29,安裝工資,式,1.0,,,,,安裝工資
參.七.30,消防竣工審查（具消防設備師、消防設備,式,1.0,,,,,消防竣工審查（具消防設備師、消防設備 士及各查驗文件資料製作）(含消防安全設 備監造人員執行消防安全設備監造及填寫 紀錄、各式核可用印大圖掃描電子檔) 小計 水電及消防設備工程 小計
肆,空調設備及通風工程,式,,,,,,空調設備及通風工程
肆.一,空調設備,式,,,,,,空調設備
肆.一.1.1,空調箱  PAHU-8-1,台,1.0,,,,,空調箱  PAHU-8-1
肆.一.1.2,空調箱  PAHU-8-2,台,1.0,,,,,空調箱  PAHU-8-2
肆.一.2.1,小型送風機  F/C-400,台,7.0,,,,,小型送風機  F/C-400
肆.一.2.2,小型送風機  F/C-600,台,12.0,,,,,小型送風機  F/C-600
肆.一.2.3,小型送風機  F/C-800,台,19.0,,,,,小型送風機  F/C-800
肆.一.2.4,小型送風機  F/C-1000,台,4.0,,,,,小型送風機  F/C-1000
肆.一.2.5,小型送風機  F/C-1200,台,8.0,,,,,小型送風機  F/C-1200
肆.一.3.1,吊掛排風機  DH-1,台,2.0,,,,,吊掛排風機  DH-1
肆.一.4.1,吊掛排風機  EF-1,台,1.0,,,,,吊掛排風機  EF-1
肆.一.4.2,吊掛排風機  EF-2,台,1.0,,,,,吊掛排風機  EF-2
肆.一.4.3,吊掛排風機  EF-3,台,1.0,,,,,吊掛排風機  EF-3
肆.一.4.4,吊掛排風機  EF-4,台,1.0,,,,,吊掛排風機  EF-4
肆.一.5.1,RV-40/FXV-40,組,1.0,,,,,RV-40/FXV-40 小計
肆.二,基礎、防震、安裝,式,,,,,,基礎、防震、安裝
肆.二.1.1,空調箱(10CM),組,2.0,,,,,空調箱(10CM)
肆.二.2.1,空調箱(橡膠墊片),台,2.0,,,,,空調箱(橡膠墊片)
肆.二.2.2,小型送風機(橡膠墊片),台,50.0,,,,,小型送風機(橡膠墊片)
肆.二.2.3,吊掛除濕機(橡膠墊片),台,2.0,,,,,吊掛除濕機(橡膠墊片)
肆.二.3.1,空調箱(現場組裝),台,2.0,,,,,空調箱(現場組裝)
肆.二.3.2,小型冷風機,台,50.0,,,,,小型冷風機
肆.二.3.3,吊掛除溼機,台,2.0,,,,,吊掛除溼機
肆.二.3.4,換氣扇,台,2.0,,,,,換氣扇
肆.二.3.5,吊掛排風機(橡膠墊片),台,4.0,,,,,吊掛排風機(橡膠墊片)
肆.二.3.6,一對一分離式冷氣機組(含不鏽鋼安裝架),組,1.0,,,,,一對一分離式冷氣機組(含不鏽鋼安裝架)
肆.二.4,安裝另料,式,1.0,,,,,安裝另料
肆.二.5,既有空調設備及管路拆除清運,式,1.0,,,,,既有空調設備及管路拆除清運
肆.二.6,吊運費,式,1.0,,,,,吊運費 小計
肆.三,風管工程,式,,,,,,風管工程
肆.三.1.1,鍍鋅鐵皮  3'x7'  #22,張,25.0,,,,,鍍鋅鐵皮  3'x7'  #22
肆.三.1.2,鍍鋅鐵皮  3'x7'  #24,張,240.0,,,,,鍍鋅鐵皮  3'x7'  #24
肆.三.2,鍍鋅鐵皮另料,式,1.0,,,,,鍍鋅鐵皮另料
肆.三.3,非鹵素發泡保溫材 25mm厚,M2,240.0,,,,,非鹵素發泡保溫材 25mm厚
肆.三.4,非鹵素發泡防火保溫材另料,式,1.0,,,,,非鹵素發泡防火保溫材另料
肆.三.5,組合機械法蘭,式,1.0,,,,,組合機械法蘭
肆.三.6,風管支撐吊掛,式,1.0,,,,,風管支撐吊掛
肆.三.7,帆布接頭,式,1.0,,,,,帆布接頭
肆.三.8,導風片,式,1.0,,,,,導風片
肆.三.9,分風門,式,1.0,,,,,分風門
肆.三.10,小型送風機保溫集風箱,只,100.0,,,,,小型送風機保溫集風箱
肆.三.11.1,繞性軟管  200φ,M,60.0,,,,,繞性軟管  200φ
肆.三.12.1,雙層鋁伸縮管附25mm厚24K玻璃棉保溫及外,M,300.0,,,,,雙層鋁伸縮管附25mm厚24K玻璃棉保溫及外 覆加強鋁箔   250φ
肆.三.13.1,雙層保溫螺旋風管  250φ,M,150.0,,,,,雙層保溫螺旋風管  250φ
肆.三.14.1,雙層鋁伸縮管附25mm厚24K玻璃棉保溫及外,M,1.0,,,,,雙層鋁伸縮管附25mm厚24K玻璃棉保溫及外 覆加強鋁箔   250φ
