no,short_desc,unit,qty,unit_price,total,vendor_quote,note,full_desc
肆.五.8,配管配線工資,式,1.0,,,,,配管配線工資 小計
肆.六,空調控制工程,式,,,,,,空調控制工程
肆.六.1.1,BACnet內坎圖形化網頁伺服分散式現場處,台,2.0,,,,,BACnet內坎圖形化網頁伺服分散式現場處 理機(俱32BIT CPU、128MB SDRAM、64MB Flash、10/100Mbps TCP/IP Ethernet Port、USB2.0)，可透過行動裝置登錄，符 合NEMA1保護等級、EMC及 UL、CSA認證合 格產品，具有XML網路通訊、E-mail警報繪 製圖形與可擴充30組擴充模組之功能)
肆.六.1.2,熱插拔式數位輸入擴充模組(16DI),只,2.0,,,,,熱插拔式數位輸入擴充模組(16DI)
肆.六.1.3,熱插拔式數位輸出擴充模組(8DO),只,2.0,,,,,熱插拔式數位輸出擴充模組(8DO)
肆.六.1.4,熱插拔式泛用輸出入擴充模組(8UIO),只,2.0,,,,,熱插拔式泛用輸出入擴充模組(8UIO)
肆.六.1.5,現場DDC控制箱組(含組裝工資、箱體、變,式,1.0,,,,,現場DDC控制箱組(含組裝工資、箱體、變 壓器、電驛、零料等)
肆.六.1.6,"7"" 全彩觸控螢幕",只,2.0,,,,,"7"" 全彩觸控螢幕"
肆.六.1.7,風管型溫度感測器,只,2.0,,,,,風管型溫度感測器
肆.六.1.8,風壓差開關,只,4.0,,,,,風壓差開關
肆.六.1.9,濾網壓差開關,只,4.0,,,,,濾網壓差開關
肆.六.1.10,風管型靜壓感測器,只,2.0,,,,,風管型靜壓感測器
肆.六.1.11,室內型二氧化碳感測器,只,6.0,,,,,室內型二氧化碳感測器
肆.六.1.12,比例式風門馬達 10Nm,只,2.0,,,,,比例式風門馬達 10Nm
肆.六.2.1,50A,組,2.0,,,,,50A
肆.六.3.1,FCU網路型溫度控制面板(一對多或一對一),組,50.0,,,,,FCU網路型溫度控制面板(一對多或一對一)
